Replacement	Oxford_ID	DOCULECT	LG_FILEPATHPART	GLOTTOCODE	GLOTTOCODE_APPROX	ASJP_ID
12411565509	Friulian_Western_Maniago_from_Greci	Trieste (city)	Rce_It_Nth_VCol_Triest_Trieste_Dl	trie1242	trie1242	ITALIAN
12411565509	Friulian	Trieste (city)	Rce_It_Nth_VCol_Triest_Trieste_Dl	trie1242	trie1242	ITALIAN
12411565509	Italian_Northern_II_Veneto_Istrioto_Valle_dIstria_from_Valle_dIstria	Trieste (city)	Rce_It_Nth_VCol_Triest_Trieste_Dl	trie1242	trie1242	ITALIAN
12411647509	Italian_Northern_I_Ligurian_Genoese_from_Genova	Liguria: Cicagna	Rce_It_Nth_Lig_Gen_Cicagna_Dl	geno1240	geno1240	LIGURIAN_GENOESE
12411773509	Italian_Northern_I_Emilian_from_Travo	Bologna (city)	Rce_It_Nth_Emil_E_BolognaTown_Dl	bolo1260	bolo1260	ITALIAN
12411773509	Italian_Northern_I_Emilian_Romagnol_from_Lugo	Bologna (city)	Rce_It_Nth_Emil_E_BolognaTown_Dl	bolo1260	bolo1260	ITALIAN
12421002007	Italian_Central_Modern_Standard	Italian Std: Tuscany acc.	Rce_It_Tus_ItalianStd_Tuscany_Acc	ital1282	ital1282	ITALIAN_GROSSETO_TUSCAN
12431229709	Italian_Central_Marchigiano_from_Macerata	Marche: Monterubbiano	Rce_It_Ctl_Mar_Macerato_Monterubbiano_Dl		ital1282	ITALIAN
12431229709	Italian_Central_Marchigiano_from_Servigliano	Marche: Monterubbiano	Rce_It_Ctl_Mar_Macerato_Monterubbiano_Dl		ital1282	ITALIAN
12431401409	Italian_Central_Laziale_North-central_from_Ascrea	Sabine: Rieti	Rce_It_Ctl_Sabine_Rieti_Dl		ital1282	ITALIAN
12441252809	Italian_Southern_I_Molisano_from_Casacalenda	Molise: Guglionesi	Rce_It_Sth_Mol_Guglionesi_Dl	moli1245	moli1245	ITALIAN
12441332109	Italian_Southern_I_Pugliese_Dauno_from_Lucera	Puglia: Canosa	Rce_It_Sth_Pug_ABar_Canosa_Dl	pugl1238	pugl1238	ITALIAN
12441533309	Italian_Southern_I_Lucano_Central_from_Calvello	Lucano: Castelmezzano	Rce_It_Sth_Luc_LucC_Castelmezzano_Dl		ital1282	ITALIAN
12441545709	Italian_Southern_I_Lucano_Archaic_from_Nova_Siri	Calabria Lausb.: Oriolo	Rce_It_Sth_Luc_Lau_Oriolo_Dl		ital1282	ITALIAN
12441557109	Italian_Southern_I_Lucano_Calabria_from_Papasidero	Calabria N.: Cetraro	Rce_It_Sth_Luc_Cal_Cetraro_Dl		ital1282	ITALIAN
12451322609	Italian_Southern_II_Sicilian_Central_from_Mussomeli	Sicily C.: Mussomeli	Rce_It_FSth_Sic_MetC_Mussomeli_Dl	cent1963	cent1963	SICILIAN_UnnamedInSource
12461150509	Italian_Central_Tuscan_Corsican_from_Sisco	Corsica: Bastelica	Rce_It_Isl_Cors_Oltra_Bastelica_Dl	vico1238	vico1238	CORSICAN
12461310859	Sardinian_Gallurese	Sardinian N.: Monti	Rce_It_Isl_Sard2Log_N_Monti_Town_Dl	nort2610	nort2610	SARDINIAN
12461310859	Sardinian_Sassarese	Sardinian N.: Monti	Rce_It_Isl_Sard2Log_N_Monti_Town_Dl	nort2610	nort2610	SARDINIAN
12461321859	Sardinian_Logudorese	Sardinian C.: Ghilarza	Rce_It_Isl_Sard2Log_C_Ghilarza_Town_Dl	sout2614	sout2614	SARDINIAN
12461410509	Sardinian_Nuorese	Sardinian NW.: Nuoro	Rce_It_Isl_Sard3Nuo_NW_Nuoro_Town_Dl	nuor1238	nuor1238	SARDINIAN
12461550509	Sardinian_Campidanese	Sardinian CR: Selargius	Rce_It_Isl_Sard4Cam_Rust_Selargius_Dl	cagl1238	cagl1238	SARDINIAN
12511212609	Romanian_Aromanian	Romanian: Itm: Hunedoara	Rce_Rom_Daco_Itm_W_Uricani_Dl	roma1327	roma1327	ROMANIAN
12511212609	Romanian_Megleno-Romanian	Romanian: Itm: Hunedoara	Rce_Rom_Daco_Itm_W_Uricani_Dl	roma1327	roma1327	ROMANIAN
12511212609	Romanian_Modern_Standard	Romanian: Itm: Hunedoara	Rce_Rom_Daco_Itm_W_Uricani_Dl	roma1327	roma1327	ROMANIAN
12521405509	Dalmatian_Vegliote_from_Veglia_Krk	Istro-Romanian:  Žejane	Rce_Rom_Istro_NthCici_Zejane_Dl	istr1245	istr1245	DALMATIAN
12521405509	Romanian_Istro-Romanian_from_Susnjevica_Valdarsa	Istro-Romanian:  Žejane	Rce_Rom_Istro_NthCici_Zejane_Dl	istr1245	istr1245	DALMATIAN
